q.frg.pt,be.pt.m,s4_new
0.118,18.47,48.7
0.100,19.22,50.9
-0.017,19.01,42.5
-0.002,21.57,53.9
0.063,14.53,36.2
0.161,17.07,44.9
-0.002,22.57,51.2
-0.006,21.13,56.3
0.093,19.80,47.9
0.188,17.88,46.4
-0.038,17.85,51.8
-0.020,15.95,23.0
0.008,15.65,33.3
0.054,16.17,40.2
0.157,18.30,50.6
-0.021,11.44,29.4
-0.038,13.78,28.7
-0.028,8.97,30.5
-0.047,-0.38,10.6
-0.025,0.64,30.9
-0.034,2.81,20.6
-0.050,-0.68,14.2
-0.057,-0.77,8.5
-0.042,10.86,6.5
0.018,0.57,28.8
-0.036,16.91,26.1
-0.044,15.84,39.6
-0.057,15.36,30.8
-0.054,13.54,37.9
-0.022,12.21,58.1
-0.026,7.45,19.1
-0.037,11.25,21.2
-0.058,12.95,20.9
-0.067,16.88,31.4
-0.040,5.57,16.4
0.003,18.09,38.1
-0.017,17.06,31.4
-0.029,7.10,-0.4
0.052,14.76,33.6
-0.042,5.64,32.2
-0.037,5.94,-4.7
0.083,14.70,31.0
0.057,14.29,26.9
0.054,15.74,27.4
-0.026,17.46,22.7
-0.023,18.21,33.8
0.024,20.27,52.4
0.061,9.39,42.6
0.131,17.48,72.5
0.029,12.14,49.7
0.010,-0.46,18.8
0.111,18.80,39.8
-0.042,13.69,18.5
-0.009,12.44,35.2
0.015,13.09,36.0
0.003,21.07,37.4
-0.016,12.65,33.3
0.103,9.74,35.5
0.007,11.76,55.8
0.074,23.61,55.4
0.027,18.96,36.1
0.064,14.26,31.4
0.058,18.15,51.8
0.038,16.20,60.3
0.046,17.42,37.0
-0.029,16.16,22.7
0.173,15.00,66.2
0.191,23.47,66.1
0.141,22.02,62.2
-0.029,8.15,40.0
-0.039,2.99,14.7
-0.032,2.54,24.2
-0.034,3.07,23.9
-0.054,17.05,38.0
0.013,15.94,33.5
-0.050,13.60,31.4
-0.032,11.05,21.6
0.054,15.07,46.1
0.064,12.60,35.0
0.022,11.95,30.4
