time,seconds_elapsed,z,y,x
1751448481479609900,0.25060986328125,-57.88125228881836,3.3375000953674316,2.5687501430511475
1751448481489610000,0.26060986328125,-58.35000228881836,3.6187500953674316,3.543750047683716
1751448481499609900,0.27060986328125,-58.95000076293945,3.8625001907348633,3.731250047683716
1751448481519609900,0.29060986328125,-58.462501525878906,3.9000000953674316,3.8062500953674316
1751448481529610000,0.30060986328125,-58.05000305175781,3.825000047683716,3.7125000953674316
1751448481539609900,0.31060986328125,-57.91875076293945,3.9000000953674316,3.7687501907348633
1751448481549610000,0.32060986328125,-57.750003814697266,4.012500286102295,3.7875001430511475
1751448481559609900,0.33060986328125,-57.73125076293945,4.050000190734863,4.012500286102295
1751448481569610000,0.34060986328125,-57.806251525878906,4.125,4.106250286102295
1751448481579609900,0.35060986328125,-57.58125305175781,4.087500095367432,3.918750047683716
1751448481589610000,0.36060986328125,-57.63750076293945,4.237500190734863,4.275000095367432
1751448481599609900,0.37060986328125,-57.41250228881836,3.9000000953674316,4.181250095367432
1751448481609610000,0.38060986328125,-57.712501525878906,3.9937500953674316,4.256250381469727
1751448481619609900,0.39060986328125,-57.656253814697266,3.9750001430511475,4.125
1751448481629610000,0.40060986328125,-57.86250305175781,3.7687501907348633,4.21875
1751448481639609900,0.41060986328125,-57.60000228881836,3.9000000953674316,4.143750190734863
1751448481649610000,0.42060986328125,-57.30000305175781,3.825000047683716,4.106250286102295
1751448481659609900,0.43060986328125,-57.243751525878906,3.750000238418579,4.200000286102295
1751448481669610000,0.44060986328125,-57.20625305175781,3.6937501430511475,4.181250095367432
1751448481679609900,0.45060986328125,-57.337501525878906,4.068750381469727,4.275000095367432
1751448481689610000,0.46060986328125,-57.13125228881836,4.050000190734863,4.275000095367432
1751448481699609900,0.47060986328125,-57.150001525878906,3.9562501907348633,4.181250095367432
1751448481709610000,0.48060986328125,-57.30000305175781,4.050000190734863,4.200000286102295
1751448481719609900,0.49060986328125,-57.431251525878906,3.843750238418579,4.012500286102295
1751448481729610000,0.50060986328125,-57.54375076293945,3.731250047683716,3.825000047683716
1751448481739609900,0.51060986328125,-57.54375076293945,3.8625001907348633,3.9000000953674316
1751448481749610000,0.52060986328125,-57.78750228881836,3.9000000953674316,3.731250047683716
1751448481759609900,0.53060986328125,-57.58125305175781,3.6000001430511475,3.543750047683716
1751448481769610000,0.54060986328125,-57.431251525878906,3.5812501907348633,3.7125000953674316
1751448481779609900,0.55060986328125,-57.48750305175781,3.6750001907348633,3.918750047683716
1751448481789610000,0.56060986328125,-57.13125228881836,3.7125000953674316,3.750000238418579
1751448481799609900,0.57060986328125,-57.13125228881836,3.7687501907348633,3.918750047683716
1751448481809610000,0.58060986328125,-56.85000228881836,4.012500286102295,3.9937500953674316
1751448481819609900,0.59060986328125,-56.60625076293945,3.9000000953674316,4.068750381469727
1751448481829610000,0.60060986328125,-56.343753814697266,3.9750001430511475,4.143750190734863
1751448481839609900,0.61060986328125,-56.625003814697266,4.237500190734863,4.143750190734863
1751448481849610000,0.62060986328125,-56.962501525878906,4.087500095367432,4.03125
1751448481859609900,0.63060986328125,-56.868751525878906,4.087500095367432,3.9562501907348633
1751448481869610000,0.64060986328125,-56.812503814697266,3.937500238418579,3.918750047683716
1751448481879609900,0.65060986328125,-57.056251525878906,3.843750238418579,3.7687501907348633
1751448481889610000,0.66060986328125,-57.525001525878906,3.637500047683716,3.562500238418579
1751448481899609900,0.67060986328125,-57.712501525878906,3.656250238418579,3.356250047683716
1751448481909610000,0.68060986328125,-57.76875305175781,3.543750047683716,3.3000001907348633
1751448481919609900,0.69060986328125,-57.656253814697266,3.262500047683716,3.3187501430511475
1751448481929610000,0.70060986328125,-57.900001525878906,3.4312500953674316,3.4125001430511475
1751448481939609900,0.71060986328125,-57.82500076293945,3.562500238418579,3.3375000953674316
1751448481949610000,0.72060986328125,-57.88125228881836,3.750000238418579,3.4875001907348633
1751448481959609900,0.73060986328125,-57.78750228881836,3.843750238418579,3.5250000953674316
1751448481969610000,0.74060986328125,-57.750003814697266,4.068750381469727,3.637500047683716
1751448481979609900,0.75060986328125,-57.86250305175781,4.143750190734863,3.7875001430511475
1751448481989610000,0.76060986328125,-57.806251525878906,4.350000381469727,3.7875001430511475
1751448481999609900,0.77060986328125,-57.73125076293945,4.537500381469727,3.7125000953674316
1751448482009610000,0.78060986328125,-57.525001525878906,4.462500095367432,3.6187500953674316
1751448482019609900,0.79060986328125,-57.50625228881836,4.200000286102295,3.6750001907348633
1751448482029610000,0.80060986328125,-57.63750076293945,4.125,3.750000238418579
1751448482039609900,0.81060986328125,-57.54375076293945,4.181250095367432,3.7687501907348633
1751448482049610000,0.82060986328125,-57.468753814697266,4.162500381469727,3.8062500953674316
1751448482059609900,0.83060986328125,-57.375003814697266,4.087500095367432,3.8812501430511475
1751448482069610000,0.84060986328125,-57.35625076293945,3.8812501430511475,3.7875001430511475
1751448482079609900,0.85060986328125,-57.41250228881836,3.7687501907348633,3.937500238418579
1751448482089610000,0.86060986328125,-57.45000076293945,3.750000238418579,3.637500047683716
1751448482099609900,0.87060986328125,-57.48750305175781,3.562500238418579,3.6000001430511475
1751448482109610000,0.88060986328125,-57.26250076293945,3.5812501907348633,3.6000001430511475
1751448482119609900,0.89060986328125,-57.26250076293945,3.5250000953674316,3.6937501430511475
1751448482129610000,0.90060986328125,-56.98125076293945,3.731250047683716,3.731250047683716
1751448482139609900,0.91060986328125,-56.94375228881836,3.7125000953674316,3.6187500953674316
