time,seconds_elapsed,z,y,x
1751281722572236300,0.134236328125,-34.70625305175781,-20.4375,-7.200000286102295
1751281722592236300,0.154236328125,-33.54375076293945,-20.287500381469727,-7.125000476837158
1751281722612236300,0.174236328125,-33.35625076293945,-20.55000114440918,-7.312500476837158
1751281722632236300,0.194236328125,-33.31875228881836,-20.662500381469727,-7.500000476837158
1751281722662236400,0.224236328125,-33.58125305175781,-20.850000381469727,-8.043750762939453
1751281722672236300,0.234236328125,-33.618751525878906,-21.01875114440918,-8.043750762939453
1751281722682236400,0.244236328125,-33.60000228881836,-20.981250762939453,-7.931250095367432
1751281722692236300,0.254236328125,-33.73125076293945,-21.037500381469727,-8.006250381469727
1751281722702236400,0.264236328125,-33.618751525878906,-20.90625,-7.818750381469727
1751281722712236300,0.274236328125,-33.78750228881836,-21.056251525878906,-7.781250476837158
1751281722722236400,0.284236328125,-33.75,-21,-7.743750095367432
1751281722732236300,0.294236328125,-33.618751525878906,-21.09375,-7.706250190734863
1751281722742236400,0.304236328125,-33.618751525878906,-20.943750381469727,-7.462500095367432
1751281722752236300,0.314236328125,-33.58125305175781,-20.868751525878906,-7.312500476837158
1751281722762236400,0.324236328125,-33.78750228881836,-20.71875,-7.293750286102295
1751281722772236300,0.334236328125,-33.712501525878906,-20.700000762939453,-7.218750476837158
1751281722782236400,0.344236328125,-33.65625,-20.700000762939453,-7.500000476837158
1751281722792236300,0.354236328125,-33.65625,-20.53125,-7.387500286102295
1751281722802236400,0.364236328125,-33.39375305175781,-20.775001525878906,-7.237500190734863
1751281722812236300,0.374236328125,-33.618751525878906,-20.71875,-7.443750381469727
1751281722822236400,0.384236328125,-33.41250228881836,-20.587501525878906,-7.368750095367432
1751281722832236300,0.394236328125,-33.45000076293945,-20.568750381469727,-7.556250095367432
1751281722842236400,0.404236328125,-33.09375,-20.53125,-7.612500190734863
1751281722852236300,0.414236328125,-32.83125305175781,-20.475000381469727,-7.762500286102295
1751281722862236400,0.424236328125,-32.962501525878906,-20.64375114440918,-7.725000381469727
1751281722872236300,0.434236328125,-33.03750228881836,-20.606250762939453,-7.837500095367432
1751281722882236400,0.444236328125,-32.94375228881836,-20.53125,-7.743750095367432
1751281722892236300,0.454236328125,-32.53125,-20.625,-7.631250381469727
1751281722902236400,0.464236328125,-32.53125,-20.662500381469727,-7.650000095367432
1751281722912236300,0.474236328125,-32.51250076293945,-20.756250381469727,-7.687500476837158
1751281722922236400,0.484236328125,-32.51250076293945,-21.09375,-7.912500381469727
1751281722932236300,0.494236328125,-32.8125,-21.337501525878906,-7.893750190734863
1751281722942236400,0.504236328125,-32.83125305175781,-21.150001525878906,-7.668750286102295
1751281722952236300,0.514236328125,-32.681251525878906,-21.30000114440918,-7.518750190734863
1751281722962236400,0.524236328125,-32.8125,-21.356250762939453,-7.762500286102295
1751281722972236300,0.534236328125,-33.056251525878906,-21.225000381469727,-7.725000381469727
1751281722982236400,0.544236328125,-33.35625076293945,-21.318750381469727,-7.875000476837158
1751281722992236300,0.554236328125,-33.337501525878906,-21.375,-7.800000190734863
1751281723002236400,0.564236328125,-33.30000305175781,-21.075000762939453,-7.518750190734863
1751281723012236300,0.574236328125,-33.31875228881836,-20.90625,-7.256250381469727
1751281723022236400,0.584236328125,-33.31875228881836,-20.793750762939453,-7.256250381469727
1751281723032236300,0.594236328125,-33.46875,-20.775001525878906,-7.556250095367432
1751281723042236400,0.604236328125,-33.35625076293945,-20.775001525878906,-7.556250095367432
1751281723052236300,0.614236328125,-33.11250305175781,-20.850000381469727,-7.387500286102295
1751281723062236400,0.624236328125,-32.85000228881836,-20.64375114440918,-7.200000286102295
1751281723072236300,0.634236328125,-33,-20.512500762939453,-7.050000190734863
1751281723082236400,0.644236328125,-33.22500228881836,-20.606250762939453,-6.918750286102295
1751281723092236300,0.654236328125,-33.28125,-20.606250762939453,-7.143750190734863
1751281723102236400,0.664236328125,-33.30000305175781,-20.962501525878906,-7.350000381469727
1751281723112236300,0.674236328125,-33.07500076293945,-21.11250114440918,-7.143750190734863
1751281723122236400,0.684236328125,-33.243751525878906,-21.075000762939453,-7.012500286102295
1751281723132236300,0.694236328125,-33.525001525878906,-20.962501525878906,-7.350000381469727
1751281723142236400,0.704236328125,-33.67500305175781,-21.056251525878906,-7.443750381469727
1751281723152236300,0.714236328125,-33.35625076293945,-21,-7.481250286102295
1751281723162236400,0.724236328125,-33.28125,-21.1875,-7.762500286102295
1751281723172236300,0.734236328125,-33.11250305175781,-21.225000381469727,-7.631250381469727
1751281723182236400,0.744236328125,-32.962501525878906,-21.075000762939453,-7.537500381469727
1751281723192236300,0.754236328125,-33.03750228881836,-21.056251525878906,-7.537500381469727
1751281723202236400,0.764236328125,-32.83125305175781,-21.09375,-7.556250095367432
1751281723212236300,0.774236328125,-32.53125,-21.450000762939453,-7.537500381469727
1751281723222236400,0.784236328125,-32.51250076293945,-21.30000114440918,-7.406250476837158
1751281723232236300,0.794236328125,-32.70000076293945,-21.337501525878906,-7.387500286102295
1751281723242236400,0.804236328125,-32.66250228881836,-21.20625114440918,-7.275000095367432
1751281723252236300,0.814236328125,-32.83125305175781,-21.09375,-7.350000381469727
1751281723262236400,0.824236328125,-32.962501525878906,-21.150001525878906,-7.575000286102295
1751281723272236300,0.834236328125,-32.83125305175781,-20.850000381469727,-7.612500190734863
1751281723282236400,0.844236328125,-32.962501525878906,-20.73750114440918,-7.687500476837158
1751281723292236300,0.854236328125,-33.07500076293945,-20.493751525878906,-7.575000286102295
1751281723302236400,0.864236328125,-33.07500076293945,-20.55000114440918,-7.500000476837158
1751281723312236300,0.874236328125,-32.92500305175781,-20.64375114440918,-7.687500476837158
1751281723322236400,0.884236328125,-32.98125076293945,-20.493751525878906,-7.762500286102295
1751281723332236300,0.894236328125,-33.26250076293945,-20.568750381469727,-7.875000476837158
1751281723342236400,0.904236328125,-33.20625305175781,-20.55000114440918,-7.668750286102295
1751281723352236300,0.914236328125,-33.35625076293945,-20.850000381469727,-7.668750286102295
1751281723362236400,0.924236328125,-33.375,-20.943750381469727,-7.650000095367432
1751281723372236300,0.934236328125,-33.525001525878906,-20.887500762939453,-7.462500095367432
1751281723382236400,0.944236328125,-33.46875,-21.075000762939453,-7.612500190734863
1751281723392236300,0.954236328125,-33.67500305175781,-21,-7.631250381469727
1751281723402236400,0.964236328125,-33.91875076293945,-21.075000762939453,-7.537500381469727
1751281723412236300,0.974236328125,-33.69375228881836,-20.83125114440918,-7.518750190734863
1751281723422236400,0.984236328125,-33.78750228881836,-20.8125,-7.593750476837158
1751281723432236300,0.994236328125,-33.712501525878906,-20.793750762939453,-7.556250095367432
1751281723442236400,1.004236328125,-33.69375228881836,-20.756250381469727,-7.631250381469727
1751281723452236300,1.014236328125,-33.78750228881836,-20.90625,-7.912500381469727
1751281723472236300,1.034236328125,-33.618751525878906,-20.793750762939453,-7.818750381469727
1751281723482236400,1.044236328125,-33.31875228881836,-20.850000381469727,-7.875000476837158
1751281723492236300,1.054236328125,-33.11250305175781,-21.11250114440918,-7.837500095367432
1751281723502236400,1.064236328125,-33.243751525878906,-20.981250762939453,-7.968750476837158
1751281723512236300,1.074236328125,-33.30000305175781,-20.850000381469727,-7.931250095367432
1751281723522236400,1.084236328125,-33.26250076293945,-20.850000381469727,-7.931250095367432
1751281723532236300,1.094236328125,-32.92500305175781,-20.90625,-7.818750381469727
1751281723542236400,1.104236328125,-33.150001525878906,-20.887500762939453,-7.725000381469727
1751281723552236300,1.114236328125,-33.243751525878906,-20.887500762939453,-7.781250476837158
