time,seconds_elapsed,magneticBearing
1751278787481751300,9.965751220703124,185.14638095026686
1751278787491751200,9.975751220703126,185.1691665733612
1751278787501751300,9.985751220703126,185.41917657510544
1751278787511751200,9.995751220703125,185.6662269453775
1751278787521751300,10.005751220703125,185.70781329645402
1751278787531751200,10.015751220703125,185.40717862648776
1751278787541751300,10.025751220703125,185.515871345402
1751278787551751200,10.035751220703125,185.3055061737093
1751278787561751300,10.045751220703124,185.3955717334206
1751278787571751200,10.055751220703126,185.67192452730743
1751278787581751300,10.065751220703126,185.57555949579069
1751278787591751200,10.075751220703125,185.44425619985319
1751278787601751300,10.085751220703125,185.1046158134866
1751278787611751200,10.095751220703125,184.61464331965112
1751278787621751300,10.105751220703125,184.65110817748092
1751278787631751200,10.115751220703125,184.78659189665925
1751278787641751300,10.125751220703124,184.95895427500886
1751278787651751200,10.135751220703124,184.65335163619744
1751278787661751300,10.145751220703126,184.45632317322642
1751278787671751200,10.155751220703126,184.43719331657647
1751278787681751300,10.165751220703125,184.24463884027796
1751278787691751200,10.175751220703125,184.4987054367083
1751278787701751300,10.185751220703125,184.53864711358383
1751278787711751200,10.195751220703125,184.3243643665244
1751278787721751300,10.205751220703124,184.3264534904229
1751278787731751200,10.215751220703124,184.4221459046507
1751278787741751300,10.225751220703126,184.48568764985978
1751278787751751200,10.235751220703126,184.74522703378102
1751278787761751300,10.245751220703125,184.83041993354843
1751278787771751200,10.255751220703125,184.77977737924004
1751278787781751300,10.265751220703125,184.60392803761835
1751278787791751200,10.275751220703125,184.58609897709323
1751278787801751300,10.285751220703125,184.1687055271347
1751278787811751200,10.295751220703124,183.89545001438515
1751278787821751300,10.305751220703126,183.908717092052
1751278787831751200,10.315751220703126,183.81035027459853
1751278787841751300,10.325751220703125,184.26538963192252
1751278787851751200,10.335751220703125,184.6301454606072
1751278787861751300,10.345751220703125,184.84305064642126
1751278787871751200,10.355751220703125,185.14079793718693
1751278787881751300,10.365751220703125,185.59823774343823
1751278787891751200,10.375751220703124,185.75261122665702
1751278787901751300,10.385751220703124,185.79158226157548
1751278787911751200,10.395751220703126,185.7636575963103
1751278787921751300,10.405751220703126,185.19951117247925
1751278787931751200,10.415751220703125,184.81942229753406
1751278787941751300,10.425751220703125,184.8562407283121
1751278787951751200,10.435751220703125,184.86333084591047
1751278787961751300,10.445751220703125,184.98670806020806
1751278787971751200,10.455751220703124,185.042451423546
1751278787991751200,10.475751220703126,185.16902956050902
1751278788001751300,10.485751220703126,185.45097152282415
1751278788011751200,10.495751220703125,185.60427738763303
1751278788021751300,10.505751220703125,185.27649997903197
1751278788031751200,10.515751220703125,185.1713079615353
1751278788041751300,10.525751220703125,184.9047348045012
1751278788051751200,10.535751220703125,185.03745457500636
1751278788061751300,10.545751220703124,185.15835522561767
1751278788071751200,10.555751220703126,185.00811871387225
1751278788081751300,10.565751220703126,185.19442877576245
1751278788091751200,10.575751220703125,185.45391925139128
1751278788101751300,10.585751220703125,185.83041673878697
1751278788111751200,10.595751220703125,185.95463591325722
1751278788121751300,10.605751220703125,185.82869313654095
1751278788131751200,10.615751220703125,185.67893147992442
1751278788141751300,10.625751220703124,185.46084583157787
1751278788151751200,10.635751220703124,185.51550542912642
1751278788161751300,10.645751220703126,185.16054280644127
1751278788171751200,10.655751220703126,185.103189422302
1751278788181751300,10.665751220703125,184.7061616610624
1751278788191751200,10.675751220703125,184.34796007312588
1751278788201751300,10.685751220703125,184.5200242871734
1751278788211751200,10.695751220703125,184.7061616610624
1751278788221751300,10.705751220703124,184.70581102365617
1751278788231751200,10.715751220703124,184.6768921399263
1751278788241751300,10.725751220703126,184.93208779535533
1751278788251751200,10.735751220703126,184.83613736180087
1751278788261751300,10.745751220703125,185.08410346321241
1751278788271751200,10.755751220703125,185.36483488802818
1751278788281751300,10.765751220703125,185.45957567865844
1751278788291751200,10.775751220703125,185.09699173136482
1751278788301751300,10.785751220703125,185.00498738822466
1751278788311751200,10.795751220703124,184.98360910228902
1751278788321751300,10.805751220703126,184.83658381669647
1751278788331751200,10.815751220703126,184.73437077169982
1751278788341751300,10.825751220703125,184.65781645511845
1751278788351751200,10.835751220703125,184.79846851518295
1751278788361751300,10.845751220703125,184.69375695314235
1751278788371751200,10.855751220703125,185.00364342998313
1751278788381751300,10.865751220703125,184.94480560331115
1751278788391751200,10.875751220703124,184.67796748141075
1751278788401751300,10.885751220703124,185.07555263031418
1751278788411751200,10.895751220703126,185.3870281688605
1751278788421751300,10.905751220703126,185.4029756483261
1751278788431751200,10.915751220703125,185.18625064590597
1751278788441751300,10.925751220703125,185.47613300960364
1751278788451751200,10.935751220703125,185.46749778411856
1751278788461751300,10.945751220703125,185.4417554083631
1751278788471751200,10.955751220703124,185.83609723589848
1751278788481751300,10.965751220703124,185.47450202411238
1751278788491751200,10.975751220703126,185.45602707292244
1751278788501751300,10.985751220703126,185.32293767139683
1751278788511751200,10.995751220703125,185.55674256664727
1751278788521751300,11.005751220703125,185.38874372495832
1751278788531751200,11.015751220703125,185.62349034904963
1751278788541751300,11.025751220703125,186.13272072220173
1751278788551751200,11.035751220703125,186.33017785991683
1751278788561751300,11.045751220703124,186.1604566097984
1751278788571751200,11.055751220703126,185.926847987733
1751278788581751300,11.065751220703126,186.13595952078023
1751278788591751200,11.075751220703125,185.95503290252182
1751278788601751300,11.085751220703125,185.87072940976734
1751278788611751200,11.095751220703125,185.68025574933642
1751278788621751300,11.105751220703125,185.42148449117042
1751278788631751200,11.115751220703125,185.36444540234106
1751278788641751300,11.125751220703124,185.55723259967036
1751278788651751200,11.135751220703124,185.73817435452776
1751278788661751300,11.145751220703126,185.76881715133342
1751278788671751200,11.155751220703126,186.1385788488322
1751278788681751300,11.165751220703125,185.91356179414745
1751278788691751200,11.175751220703125,186.44360134729996
1751278788701751300,11.185751220703125,186.4646874790533
1751278788711751200,11.195751220703125,186.49657595958493
1751278788721751300,11.205751220703124,186.5483370018224
1751278788731751200,11.215751220703124,186.50811145031702
1751278788741751300,11.225751220703126,186.66543434262815
1751278788751751200,11.235751220703126,186.38898979334925
1751278788761751300,11.245751220703125,186.9131302934553
1751278788771751200,11.255751220703125,186.4894621878927
1751278788781751300,11.265751220703125,186.89516424545866
1751278788791751200,11.275751220703125,186.70066846347862
1751278788801751300,11.285751220703125,186.76140034242633
1751278788811751200,11.295751220703124,186.73749173635665
1751278788821751300,11.305751220703126,186.61573357952412
1751278788831751200,11.315751220703126,186.841512179096
1751278788841751300,11.325751220703125,186.70422741673082
1751278788851751200,11.335751220703125,186.7721600477525
1751278788861751300,11.345751220703125,186.61673806222632
1751278788871751200,11.355751220703125,186.66247751613852
1751278788881751300,11.365751220703125,186.62048748959558
1751278788891751200,11.375751220703124,186.74035083516912
1751278788901751300,11.385751220703124,186.69637762629628
1751278788911751200,11.395751220703126,186.30743678483037
1751278788921751300,11.405751220703126,186.15869276038816
1751278788931751200,11.415751220703125,185.67817510667464
1751278788941751300,11.425751220703125,185.78811548113265
1751278788951751200,11.435751220703125,185.42486348780233
1751278788961751300,11.445751220703125,185.14406824898492
1751278788971751200,11.455751220703124,185.11489661942167
1751278788981751300,11.465751220703124,184.8037552776007
1751278788991751200,11.475751220703126,184.83312985061312
1751278789001751300,11.485751220703126,185.26746914989675
1751278789011751200,11.495751220703125,185.79467089719387
1751278789021751300,11.505751220703125,185.35988639150438
1751278789031751200,11.515751220703125,185.66210323509165
1751278789041751300,11.525751220703125,185.74606651619945
1751278789051751200,11.535751220703125,185.87262869302475
1751278789061751300,11.545751220703124,186.03643012796735
1751278789071751200,11.555751220703126,186.28578689057616
1751278789081751300,11.565751220703126,185.89374010795467
1751278789091751200,11.575751220703125,185.2478041622175
1751278789101751300,11.585751220703125,185.1382070476256
1751278789111751200,11.595751220703125,184.98962156706568
1751278789121751300,11.605751220703125,185.39362957717972
1751278789131751200,11.615751220703125,185.08106631171145
1751278789141751300,11.625751220703124,185.34756994889932
1751278789151751200,11.635751220703124,184.98276081858103
