time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1750935420030260500,0.140260498046875,-0.39788731932640076,-0.04177949205040932,-0.01930592767894268,0.916279137134552,-0.09205668419599533,0.002132178982719779,0.8194442391395569
1750935420077322200,0.187322265625,-0.3850700557231903,-0.04258258640766144,-0.01937195658683777,0.9217008948326111,-0.09355273097753525,0.002915747929364443,0.7916187047958374
1750935420124384000,0.234384033203125,-0.38295409083366394,-0.04323314502835274,-0.019275758415460587,0.9225537776947021,-0.09467492252588272,0.0024532291572541,0.7870308756828308
1750935420152620800,0.262620849609375,-0.3817402124404907,-0.04284162074327469,-0.01913612335920334,0.9230778813362122,-0.0938403457403183,0.0026195303071290255,0.7843905687332153
1750935420171445500,0.281445556640625,-0.38126254081726074,-0.04241332411766052,-0.018842775374650955,0.923301100730896,-0.09282214194536209,0.0024538885336369276,0.783327043056488
1750935420190270200,0.300270263671875,-0.38280194997787476,-0.04245072230696678,-0.018805328756570816,0.9226629734039307,-0.09286650270223618,0.002201525494456291,0.7866517901420593
1750935420209095000,0.319094970703125,-0.3828195333480835,-0.04267219454050064,-0.018827883526682854,0.9226450324058533,-0.09329341351985931,0.002071408089250326,0.7866925597190857
1750935420227919600,0.337919677734375,-0.382329523563385,-0.042648572474718094,-0.018728572875261307,0.9228512644767761,-0.09317247569561005,0.001955759944394231,0.7856225371360779
1750935420246744300,0.356744384765625,-0.3838173449039459,-0.04268265888094902,-0.018500180914998055,0.9222365021705627,-0.09306275099515915,0.0013583977706730366,0.7888177633285522
1750935420265568800,0.37556884765625,-0.3837651312351227,-0.0426105372607708,-0.018144797533750534,0.9222686290740967,-0.0926559567451477,0.0007638782844878733,0.788668692111969
1750935420284393500,0.3943935546875,-0.38371938467025757,-0.04261759668588638,-0.017965545877814293,0.9222908616065979,-0.09253109246492386,0.00043252110481262207,0.7885516881942749
1750935420303218200,0.41321826171875,-0.3837915360927582,-0.04282955825328827,-0.018063394352793694,0.9222490787506104,-0.0929981991648674,0.0004426538944244385,0.7887176871299744
1750935420322043000,0.43204296875,-0.3834212124347687,-0.04309706762433052,-0.018288008868694305,0.9223862290382385,-0.0936652198433876,0.0006885566399432719,0.7879393100738525
1750935420340867600,0.45086767578125,-0.3823966681957245,-0.04311123862862587,-0.01848316192626953,0.9228069186210632,-0.09384023398160934,0.001141589367762208,0.7857431769371033
1750935420359692300,0.4696923828125,-0.38355252146720886,-0.04294633865356445,-0.018644819036126137,0.9223315119743347,-0.09366104006767273,0.0014490564353764057,0.788259744644165
1750935420378517000,0.48851708984375,-0.3833923637866974,-0.042998895049095154,-0.018789391964673996,0.922392725944519,-0.09386908262968063,0.0016914986772462726,0.7879281640052795
1750935420397341700,0.507341796875,-0.3831997811794281,-0.04315207153558731,-0.018796948716044426,0.922465443611145,-0.09415775537490845,0.0016073405276983976,0.7875125408172607
1750935420416166400,0.52616650390625,-0.3833288550376892,-0.04317253828048706,-0.018862254917621613,0.9224095344543457,-0.09424600750207901,0.001698889653198421,0.7877985239028931
1750935420434990800,0.544990966796875,-0.38309499621391296,-0.04310015216469765,-0.018947090953588486,0.9225082993507385,-0.09417688846588135,0.0019347902853041887,0.787301242351532
1750935420453815600,0.563815673828125,-0.3827627897262573,-0.042962078005075455,-0.018990816548466682,0.9226517677307129,-0.0939544141292572,0.002155253430828452,0.7865870594978333
1750935420472640300,0.58264013671875,-0.3827614188194275,-0.04284004494547844,-0.01914963498711586,0.9226546883583069,-0.09385062754154205,0.0025419695302844048,0.7866002917289734
1750935420491465000,0.60146484375,-0.3825370669364929,-0.04286087676882744,-0.01930108852684498,0.9227436184883118,-0.09400472790002823,0.002828165888786316,0.7861307263374329
1750935420510289700,0.62028955078125,-0.3824046850204468,-0.0426894836127758,-0.019321557134389877,0.9228060245513916,-0.0937030240893364,0.0030107880011200905,0.7858462929725647
1750935420529114400,0.6391142578125,-0.38331231474876404,-0.04257519915699959,-0.019281793385744095,0.922435462474823,-0.09346406161785126,0.002933226991444826,0.7878050804138184
1750935420547939000,0.65793896484375,-0.38332706689834595,-0.04276824742555618,-0.019134066998958588,0.9224234819412231,-0.09370746463537216,0.0025109711568802595,0.7878221273422241
1750935420566763800,0.676763671875,-0.3836340010166168,-0.042809709906578064,-0.018903348594903946,0.9222987294197083,-0.09360744804143906,0.0020225471816956997,0.7884624600410461
1750935420585588500,0.69558837890625,-0.3837777078151703,-0.04286734014749527,-0.018643591552972794,0.9222415685653687,-0.09351441264152527,0.0014847299316897988,0.7887468338012695
1750935420604413200,0.7144130859375,-0.3846374452114105,-0.04280365630984306,-0.01853383146226406,0.9218884706497192,-0.09331344068050385,0.001244474551640451,0.7905963063240051
1750935420623238000,0.73323779296875,-0.38505029678344727,-0.04261128231883049,-0.01861085183918476,0.921723484992981,-0.0930180549621582,0.0014931453624740243,0.7914977669715881
1750935420642062600,0.7520625,-0.38612520694732666,-0.04231713339686394,-0.018855944275856018,0.9212822914123535,-0.09266632795333862,0.0020638718269765377,0.793850302696228
1750935420660887000,0.770886962890625,-0.38795560598373413,-0.04218243807554245,-0.019033130258321762,0.9205155372619629,-0.09255955368280411,0.002310758689418435,0.7978349328041077
1750935420679711700,0.789711669921875,-0.3890288472175598,-0.04213520511984825,-0.01910029724240303,0.9200632572174072,-0.09252747148275375,0.0023633448872715235,0.8001689910888672
1750935420707948800,0.81794873046875,-0.39066195487976074,-0.0423002764582634,-0.01917044073343277,0.91936194896698,-0.09289059787988663,0.0021989326924085617,0.803720235824585
1750935420726773500,0.8367734375,-0.3916878402233124,-0.04227832704782486,-0.01911177672445774,0.9189276099205017,-0.09280649572610855,0.0020048669539391994,0.8059417009353638
1750935420745598200,0.85559814453125,-0.3927428126335144,-0.04199996590614319,-0.01904095709323883,0.9184914231300354,-0.09224054217338562,0.0019875443540513515,0.808225691318512
