seconds_elapsed,a_z,a_y,a_x,w_z,w_y,w_x,m_z,m_y,m_x,qz,qy,qx,qw,roll,pitch,yaw
0.140260498046875,9.765104293823242,-0.0209094975143671,0.9014912247657776,-0.0080939587205648,0.0253508891910314,-0.0103847011923789,,,,-0.3978873193264007,-0.0417794920504093,-0.0193059276789426,0.916279137134552,-0.0920566841959953,0.0021321789827197,0.8194442391395569
0.187322265625,9.76372528076172,-0.0285936389118433,0.9160974025726318,0.006566796451807,-0.0100792692974209,0.0323758348822593,,,,-0.3850700557231903,-0.0425825864076614,-0.0193719565868377,0.9217008948326112,-0.0935527309775352,0.0029157479293644,0.7916187047958374
0.234384033203125,9.762702941894531,-0.0240579526871442,0.9270546436309814,-0.0019853105768561,-0.0064140800386667,-0.0189368072897195,,,,-0.3829540908336639,-0.0432331450283527,-0.0192757584154605,0.922553777694702,-0.0946749225258827,0.0024532291572541,0.7870308756828308
0.262620849609375,9.763469696044922,-0.0256887637078762,0.918906271457672,-0.0007635809597559,0.0180205106735229,-0.0189368072897195,,,,-0.3817402124404907,-0.0428416207432746,-0.0191361233592033,0.9230778813362122,-0.0938403457403183,0.002619530307129,0.7843905687332153
0.281445556640625,9.764404296875,-0.0240644104778766,0.9089649319648744,-0.0007635809597559,0.0167987812310457,-0.0030543238390237,-49.42500305175781,21.39375114440918,-25.462501525878903,-0.3812625408172607,-0.0424133241176605,-0.0188427753746509,0.923301100730896,-0.092822141945362,0.0024538885336369,0.783327043056488
0.300270263671875,9.76436996459961,-0.0215895567089319,0.9093986749649048,0.0004581485991366,0.003359756199643,-0.0006108647794462,-49.16250228881836,21.356250762939453,-25.51875114440918,-0.3828019499778747,-0.0424507223069667,-0.0188053287565708,0.9226629734039308,-0.0928665027022361,0.0022015254944562,0.7866517901420593
0.319094970703125,9.763983726501465,-0.0203135497868061,0.9135673642158508,0.0004581485991366,0.0009162971982732,-0.006719512399286,-49.29375076293945,21.056251525878903,-25.743751525878903,-0.3828195333480835,-0.0426721945405006,-0.0188278835266828,0.9226450324058532,-0.0932934135198593,0.0020714080892503,0.7866925597190857
0.337919677734375,9.7640962600708,-0.0191794261336326,0.9123867750167848,-0.0007635809597559,0.0021380267571657,0.006719512399286,-49.40625381469727,21.0,-25.781251907348636,-0.382329523563385,-0.042648572474718,-0.0187285728752613,0.922851264476776,-0.09317247569561,0.0019557599443942,0.7856225371360779
0.356744384765625,9.764204978942873,-0.0133213009685277,0.9113161563873292,-0.0032070400193333,0.003359756199643,0.0274889152497053,-49.31250381469727,20.775001525878903,-26.118751525878903,-0.3838173449039459,-0.042682658880949,-0.018500180914998,0.9222365021705629,-0.0930627509951591,0.001358397770673,0.7888177633285522
0.37556884765625,9.764581680297852,-0.0074910884723067,0.9073446393013,0.0016798780998215,0.0058032153174281,0.0238237269222736,-49.61250305175781,20.73750114440918,-25.762500762939453,-0.3837651312351227,-0.0426105372607708,-0.0181447975337505,0.9222686290740968,-0.0926559567451477,0.0007638782844878,0.788668692111969
0.3943935546875,9.764697074890137,-0.0042415880598127,0.9061256051063538,0.0041233371011912,-0.0039706211537122,0.0140498895198106,-49.96875381469727,20.73750114440918,-25.725000381469727,-0.3837193846702575,-0.0426175966858863,-0.0179655458778142,0.922290861606598,-0.0925310924649238,0.0004325211048126,0.7885516881942749
0.41321826171875,9.764272689819336,-0.0043409750796854,0.910686731338501,0.0053450670093297,-0.023518294095993,0.0006108647794462,-50.13750076293945,20.756250381469727,-25.725000381469727,-0.3837915360927582,-0.0428295582532882,-0.0180633943527936,0.9222490787506104,-0.0929981991648674,0.0004426538944244,0.7887176871299744
0.43204296875,9.76366138458252,-0.0067524313926696,0.9171993732452391,0.0090102553367614,-0.0198531057685613,-0.0189368072897195,-49.931251525878906,20.568750381469727,-25.575000762939453,-0.3834212124347687,-0.0430970676243305,-0.0182880088686943,0.9223862290382384,-0.0936652198433876,0.0006885566399432,0.7879393100738525
0.45086767578125,9.763497352600098,-0.0111951949074864,0.918907642364502,0.0016798780998215,0.0082466742023825,-0.0030543238390237,-50.10000228881836,20.943750381469727,-25.443750381469727,-0.3823966681957245,-0.0431112386286258,-0.0184831619262695,0.9228069186210632,-0.0938402339816093,0.0011415893677622,0.7857431769371033
