time,seconds_elapsed,z,y,x
1751223251316135400,0.244135498046875,-31.818750381469727,-16.5,3.1500000953674316
1751223251336135400,0.264135498046875,-31.593751907348633,-17.4375,3.4875001907348633
1751223251346135600,0.274135498046875,-31.443750381469727,-17.55000114440918,3.2437500953674316
1751223251376135400,0.304135498046875,-31.275001525878906,-18.075000762939453,3.187500238418579
1751223251386135600,0.314135498046875,-31.162500381469727,-18.075000762939453,3.093750238418579
1751223251406135600,0.334135498046875,-31.218751907348633,-18.1875,3.2250001430511475
1751223251416135400,0.344135498046875,-30.95625114440918,-18.20625114440918,3.3187501430511475
1751223251426135600,0.354135498046875,-30.750001907348633,-18.262500762939453,3.3000001907348633
1751223251436135400,0.364135498046875,-30.937501907348633,-18.150001525878906,3.356250047683716
1751223251446135600,0.374135498046875,-31.012500762939453,-18.037500381469727,3.3375000953674316
1751223251456135400,0.384135498046875,-30.900001525878906,-17.868751525878906,3.3375000953674316
1751223251466135600,0.394135498046875,-31.031251907348633,-17.83125114440918,3.450000047683716
1751223251476135400,0.404135498046875,-30.86250114440918,-17.887500762939453,3.450000047683716
1751223251486135600,0.414135498046875,-30.600000381469727,-17.887500762939453,3.2250001430511475
1751223251496135400,0.424135498046875,-30.975000381469727,-18.01875114440918,3.3937501907348633
1751223251506135600,0.434135498046875,-31.05000114440918,-18,3.468750238418579
1751223251516135400,0.444135498046875,-30.975000381469727,-18.09375,3.6187500953674316
1751223251526135600,0.454135498046875,-30.750001907348633,-18.09375,3.656250238418579
1751223251536135400,0.464135498046875,-30.918750762939453,-18.131250381469727,3.4875001907348633
1751223251546135600,0.474135498046875,-30.95625114440918,-18.131250381469727,3.3375000953674316
1751223251556135400,0.484135498046875,-31.031251907348633,-18.225000381469727,3.3000001907348633
1751223251566135600,0.494135498046875,-31.312501907348633,-18.337501525878906,3.4125001430511475
1751223251576135400,0.504135498046875,-31.406251907348633,-18.1875,3.2437500953674316
1751223251586135600,0.514135498046875,-31.61250114440918,-18.20625114440918,3.3375000953674316
1751223251596135400,0.524135498046875,-31.481250762939453,-18.337501525878906,3.3937501907348633
1751223251606135600,0.534135498046875,-31.650001525878906,-18.431251525878906,3.450000047683716
1751223251616135400,0.544135498046875,-31.631250381469727,-18.431251525878906,3.543750047683716
1751223251626135600,0.554135498046875,-31.368751525878906,-18.506250381469727,3.825000047683716
1751223251636135400,0.564135498046875,-31.368751525878906,-18.5625,3.750000238418579
1751223251646135600,0.574135498046875,-31.387500762939453,-18.543750762939453,3.8062500953674316
1751223251656135400,0.584135498046875,-31.162500381469727,-18.450000762939453,3.7875001430511475
1751223251666135600,0.594135498046875,-31.031251907348633,-18.412500381469727,3.6937501430511475
1751223251676135400,0.604135498046875,-31.068750381469727,-18.318750381469727,3.750000238418579
1751223251686135600,0.614135498046875,-31.012500762939453,-18.225000381469727,3.7125000953674316
1751223251696135400,0.624135498046875,-30.731250762939453,-18.375,3.4875001907348633
1751223251706135600,0.634135498046875,-30.900001525878906,-18.1875,3.375000238418579
1751223251716135400,0.644135498046875,-30.900001525878906,-18.168750762939453,3.450000047683716
1751223251726135600,0.654135498046875,-30.76875114440918,-18.11250114440918,3.5062501430511475
1751223251736135400,0.664135498046875,-30.731250762939453,-18.168750762939453,3.2437500953674316
1751223251746135600,0.674135498046875,-30.712501525878906,-18.243751525878906,3.168750047683716
1751223251756135400,0.684135498046875,-30.806251525878906,-18.243751525878906,3.093750238418579
1751223251766135600,0.694135498046875,-30.825000762939453,-18.28125,3.075000047683716
1751223251776135400,0.704135498046875,-30.975000381469727,-18.131250381469727,3.168750047683716
1751223251786135600,0.714135498046875,-31.23750114440918,-18.46875,3.3375000953674316
1751223251796135400,0.724135498046875,-31.162500381469727,-18.1875,3.3937501907348633
1751223251806135600,0.734135498046875,-31.181251525878906,-18.20625114440918,3.356250047683716
1751223251816135400,0.744135498046875,-31.200000762939453,-18.168750762939453,3.468750238418579
1751223251826135600,0.754135498046875,-31.33125114440918,-18.075000762939453,3.468750238418579
1751223251836135400,0.764135498046875,-31.14375114440918,-18.09375,3.543750047683716
1751223251846135600,0.774135498046875,-31.200000762939453,-17.981250762939453,3.543750047683716
1751223251856135400,0.784135498046875,-31.33125114440918,-17.8125,3.6750001907348633
1751223251866135600,0.794135498046875,-31.05000114440918,-17.64375114440918,3.6000001430511475
1751223251876135400,0.804135498046875,-31.162500381469727,-17.868751525878906,3.4875001907348633
1751223251886135600,0.814135498046875,-31.162500381469727,-17.962501525878906,3.3000001907348633
1751223251896135400,0.824135498046875,-31.275001525878906,-18,3.5250000953674316
1751223251906135600,0.834135498046875,-31.575000762939453,-18.168750762939453,3.562500238418579
