time,seconds_elapsed,magneticBearing
1751223251316135400,0.244135498046875,190.80823125983534
1751223251336135400,0.264135498046875,191.30993307662857
1751223251346135600,0.274135498046875,190.4717474496761
1751223251376135400,0.304135498046875,190.0011987526636
1751223251386135600,0.314135498046875,189.71273114366616
1751223251406135600,0.334135498046875,190.05514833972987
1751223251416135400,0.344135498046875,190.330807200481
1751223251426135600,0.354135498046875,190.24271495719418
1751223251436135400,0.364135498046875,190.47663887114714
1751223251446135600,0.374135498046875,190.48294585273118
1751223251456135400,0.384135498046875,190.57971973278575
1751223251466135600,0.394135498046875,190.95031544650362
1751223251476135400,0.404135498046875,190.91670933316226
1751223251486135600,0.414135498046875,190.22026152492333
1751223251496135400,0.424135498046875,190.6664448832465
1751223251506135600,0.434135498046875,190.9076625272339
1751223251516135400,0.444135498046875,191.30993276439625
1751223251526135600,0.454135498046875,191.42406806736
1751223251536135400,0.464135498046875,190.8877250104617
1751223251546135600,0.474135498046875,190.4299349221963
1751223251556135400,0.484135498046875,190.26334320311017
1751223251566135600,0.494135498046875,190.54181698636924
1751223251576135400,0.504135498046875,190.11240523214303
1751223251586135600,0.514135498046875,190.3879059944475
1751223251596135400,0.524135498046875,190.48518303186017
1751223251606135600,0.534135498046875,190.60205757822115
1751223251616135400,0.544135498046875,190.88336445796716
1751223251626135600,0.554135498046875,191.6778511858932
1751223251636135400,0.564135498046875,191.42118698205542
1751223251646135600,0.574135498046875,191.59930245591747
1751223251656135400,0.584135498046875,191.60077145593806
1751223251666135600,0.594135498046875,191.34358987270085
1751223251676135400,0.604135498046875,191.5690861396109
1751223251686135600,0.614135498046875,191.51383123779644
1751223251696135400,0.624135498046875,190.74668163436493
1751223251706135600,0.634135498046875,190.5126278960047
1751223251716135400,0.644135498046875,190.75168911644636
1751223251726135600,0.654135498046875,190.9559066096876
1751223251736135400,0.664135498046875,190.12262503346824
1751223251746135600,0.674135498046875,189.8533803905226
1751223251756135400,0.684135498046875,189.624578625684
1751223251766135600,0.694135498046875,189.54806589021956
1751223251776135400,0.704135498046875,189.91330959296056
1751223251786135600,0.714135498046875,190.24340907403953
1751223251796135400,0.724135498046875,190.5697186900211
1751223251806135600,0.734135498046875,190.44498393374997
1751223251816135400,0.744135498046875,190.80874985373134
1751223251826135600,0.754135498046875,190.86348117153142
1751223251836135400,0.764135498046875,191.08139063442545
1751223251846135600,0.774135498046875,191.14898938150358
1751223251856135400,0.784135498046875,191.65745677994295
1751223251866135600,0.794135498046875,191.53223448897887
1751223251876135400,0.804135498046875,191.04376501560623
1751223251886135600,0.814135498046875,190.41007248266573
1751223251896135400,0.824135498046875,191.08019951670713
1751223251906135600,0.834135498046875,191.09372328129257
1751223251916135400,0.844135498046875,190.97979934798394
1751223251926135600,0.854135498046875,191.16339565424832
1751223251936135400,0.864135498046875,190.66493693002374
1751223251946135600,0.874135498046875,190.8855268905578
1751223251956135400,0.884135498046875,190.9414397339184
1751223251966135600,0.894135498046875,191.75894990924775
1751223251976135400,0.904135498046875,191.6022554453645
1751223251986135600,0.914135498046875,192.2550242582213
1751223251996135400,0.924135498046875,192.16704970603496
1751223252006135600,0.934135498046875,191.71659911324952
1751223252016135400,0.944135498046875,191.9572504496448
1751223252026135600,0.954135498046875,192.29166225630013
1751223252036135400,0.964135498046875,191.81756061791765
1751223252046135600,0.974135498046875,191.64032744689928
1751223252056135400,0.984135498046875,192.28944700473886
1751223252066135600,0.994135498046875,191.97613248835543
1751223252076135400,1.004135498046875,192.20510636889682
1751223252086135600,1.014135498046875,192.55429533155996
1751223252096135400,1.024135498046875,192.9946171283272
1751223252106135600,1.034135498046875,192.15314495729152
1751223252116135400,1.044135498046875,192.0449024977811
1751223252126135600,1.054135498046875,191.88563494050274
1751223252136135400,1.064135498046875,191.08019951670713
1751223252146135600,1.074135498046875,191.07020204104234
1751223252156135400,1.084135498046875,190.7898120252048
1751223252166135600,1.094135498046875,190.8741872647315
1751223252176135400,1.104135498046875,190.34250957981192
1751223252186135600,1.114135498046875,189.9733518075971
1751223252196135400,1.124135498046875,190.56101084289406
1751223252206135600,1.134135498046875,190.60115561648132
1751223252216135400,1.144135498046875,190.73889678732434
1751223252226135600,1.154135498046875,191.34578018811612
1751223252236135400,1.164135498046875,191.3453953031282
1751223252246135600,1.174135498046875,191.68137440178137
1751223252256135400,1.184135498046875,191.70331382680186
1751223252266135600,1.194135498046875,191.80673753261493
1751223252276135400,1.204135498046875,191.68334139651353
1751223252286135600,1.214135498046875,191.40298313809612
1751223252296135400,1.224135498046875,191.16111241085036
1751223252306135600,1.234135498046875,190.26871747879073
1751223252316135400,1.244135498046875,190.13893683224228
1751223252326135600,1.254135498046875,189.72101395296477
1751223252336135400,1.264135498046875,189.91330959296056
1751223252346135600,1.274135498046875,190.37261530210301
1751223252356135400,1.284135498046875,190.54451147820413
1751223252366135600,1.294135498046875,191.20755772894248
1751223252376135400,1.304135498046875,191.71317410446628
1751223252386135600,1.314135498046875,192.0697794925654
1751223252396135400,1.324135498046875,192.239600573238
1751223252406135600,1.334135498046875,192.2797801543082
1751223252416135400,1.344135498046875,192.49076709653647
1751223252426135600,1.354135498046875,192.1435576871102
1751223252436135400,1.364135498046875,192.12331529204508
1751223252446135600,1.374135498046875,191.43759144891703
1751223252456135400,1.384135498046875,191.21642609550435
1751223252466135600,1.394135498046875,192.35536030647825
1751223252476135400,1.404135498046875,191.70748864944332
1751223252486135600,1.414135498046875,191.50842886602044
1751223252496135400,1.424135498046875,190.5500866444983
1751223252516135400,1.444135498046875,190.23977493249396
