time,seconds_elapsed,z,y,x
1750854076011711500,0.13171142578125,-37.125,-39.150001525878906,16.725000381469727
1750854076021711600,0.141711669921875,-37.125,-39.13125228881836,16.875
1750854076051711500,0.17171142578125,-36.056251525878906,-39,17.681251525878906
1750854076081711600,0.201711669921875,-36.150001525878906,-38.53125,18.075000762939453
1750854076101711600,0.221711669921875,-35.75625228881836,-38.60625076293945,18.39375114440918
1750854076111711500,0.23171142578125,-35.868751525878906,-38.60625076293945,18.39375114440918
1750854076121711600,0.241711669921875,-36.03750228881836,-38.83125305175781,18.39375114440918
1750854076131711500,0.25171142578125,-36.150001525878906,-38.51250076293945,18.506250381469727
1750854076141711600,0.261711669921875,-36.30000305175781,-38.41875076293945,18.46875
1750854076151711500,0.27171142578125,-35.94375228881836,-38.51250076293945,18.037500381469727
1750854076161711600,0.281711669921875,-35.962501525878906,-38.66250228881836,18.150001525878906
1750854076171711500,0.29171142578125,-36.150001525878906,-38.625,17.681251525878906
1750854076181711600,0.301711669921875,-36.28125,-38.60625076293945,17.850000381469727
1750854076191711500,0.31171142578125,-36.13125228881836,-38.64375305175781,17.850000381469727
1750854076201711600,0.321711669921875,-35.94375228881836,-38.4375,17.8125
1750854076211711500,0.33171142578125,-36.09375,-38.45625305175781,17.64375114440918
1750854076221711600,0.341711669921875,-35.98125076293945,-38.587501525878906,17.568750381469727
1750854076231711500,0.35171142578125,-36.26250076293945,-38.70000076293945,17.681251525878906
1750854076241711600,0.361711669921875,-36.39375305175781,-38.56875228881836,17.662500381469727
1750854076251711500,0.37171142578125,-36.525001525878906,-38.25,18.131250381469727
1750854076261711600,0.381711669921875,-36.45000076293945,-38.32500076293945,18.09375
1750854076271711500,0.39171142578125,-36.35625076293945,-38.26875305175781,18.1875
1750854076281711600,0.401711669921875,-36.31875228881836,-38.34375,18.09375
1750854076291711500,0.41171142578125,-36.30000305175781,-38.51250076293945,18.09375
1750854076301711600,0.421711669921875,-36.09375,-38.60625076293945,18.1875
1750854076311711500,0.43171142578125,-35.962501525878906,-38.625,18.262500762939453
1750854076321711600,0.441711669921875,-36.150001525878906,-38.64375305175781,18.375
1750854076331711500,0.45171142578125,-36.09375,-38.8125,18.30000114440918
1750854076341711600,0.461711669921875,-36.243751525878906,-38.60625076293945,18.262500762939453
1750854076351711500,0.47171142578125,-36.35625076293945,-38.56875228881836,18.243751525878906
1750854076361711600,0.481711669921875,-36.31875228881836,-38.51250076293945,18.243751525878906
1750854076371711500,0.49171142578125,-36.48750305175781,-38.493751525878906,18.337501525878906
1750854076381711600,0.501711669921875,-36.618751525878906,-38.25,18.243751525878906
1750854076391711500,0.51171142578125,-36.73125076293945,-38.08125305175781,18.412500381469727
1750854076401711600,0.521711669921875,-36.525001525878906,-38.19375228881836,18.375
1750854076411711500,0.53171142578125,-36.58125305175781,-38.306251525878906,18.5625
1750854076421711600,0.541711669921875,-36.50625228881836,-38.32500076293945,18.46875
1750854076431711500,0.55171142578125,-36.48750305175781,-38.34375,18.431251525878906
1750854076441711600,0.561711669921875,-36.712501525878906,-38.36250305175781,18.337501525878906
1750854076451711500,0.57171142578125,-36.525001525878906,-38.34375,18.243751525878906
