mol,No,name,ASA,a_ICM,balabanJ,b_count,chi1,dens,E_sol,E_str,glob,h_logS,radius,rgyr,SlogP,Weight,weinerPath,weinerPol,zagreb
O=C(Nc1c(OC)cc(OC)cc1OC)C(=O)Nc1c(OC)cc(OC)cc1OC,25,BTMPO,708.86096,1.6349308,2.0244291,55,14.412477,1.0807661,-18.326616,6.4597077,0.014224846,-4.2018867,8,4.8593969,2.3153999,420.418,2561,50,146
O=C(NCc1ccccc1)C(=O)NCc1ccccc1,26,DBO,551.14557,1.5032583,1.5736774,37,9.7540197,0.99422324,-15.541606,1.1210173,0.03936284,-3.7299035,7,4.5651507,2.152,268.31598,986,24,94
O=C(NCCc1ccccc1)C(=O)NCCc1ccccc1,27,DPEO,536.0575,1.4519076,1.4931861,43,10.75402,0.96068066,-12.479145,3.9394999,0.1380154,-4.1024418,8,3.616348,1.7041399,296.37,1365,26,102
O=C(NCc1ccccc1)C(=O)Nc1c(C)ccc2c1cccc2,28,MNBO,590.9895,1.4519076,1.4755394,44,11.647867,1.0011823,-15.763254,1.4760032,0.051601671,-5.1859951,7,4.4626913,3.6695199,318.37601,1460,36,122
O=C(NCc1ccccc1)C(=O)Nc1c(-c2ccccc2)cccc1,29,PPBO,622.71875,1.4426062,1.4473126,45,12.237184,1.0042158,-7.8015475,1.3046715,0.054433264,-5.5036058,7,4.4777546,3.8749001,330.38699,1672,35,124
O=C(Nc1c(-c2ccccc2)cccc1)C(=O)Nc1c(-c2ccccc2)cccc1,30,JACS15_L17,686.33936,1.3908563,1.3094457,53,14.720346,1.0046924,-5.6824846,1.5683509,0.091043524,-7.2799277,8,4.4460578,5.5977998,392.45798,2633,46,154
FC(F)(F)c1cc(c(NC(=O)C(=O)Nc2c(-c3ccccc3)cc(C(F)(F)F)cc2)cc1)-c1ccccc1,31,JACS15_L18,773.15131,1.7149556,1.3935381,59,17.930691,1.1945792,-4.4103179,2.1554432,0.072362415,-8.7280903,8,5.5612998,8.2584,528.45197,4879,62,202
Fc1cc(c(NC(=O)C(=O)Nc2c(-c3ccccc3)cc(F)cc2)cc1)-c1ccccc1,32,JACS15_L19,693.84619,1.5784545,1.3382473,53,15.50804,1.0819141,-4.0586252,1.7060791,0.096823007,-7.4919844,8,4.7423429,5.8759999,428.43799,3100,50,166
O=C(Nc1c(-c2ccccc2)cc(N(CC)CC)cc1)C(=O)Nc1c(-c2ccccc2)cc(N(CC)CC)cc1,33,JACS15_L24,926.83539,1.3829025,1.3884028,81,19.481426,0.95504171,-6.1150222,2.6907666,0.039982516,-8.8580885,9,5.7469087,7.2902002,534.70398,5688,66,202
O=C(Nc1c(C)cc(OC)cc1C)C(=O)Nc1c(C)cc(OC)cc1C,34,JACS15_L29,656.77191,1.514303,1.8848642,51,12.260458,0.98731852,-23.212561,1.4612079,0.048346497,-4.7598367,8,4.771729,3.5146799,356.422,1805,42,130
O=C(Nc1c(C)cc(N(C)C)cc1C)C(=O)Nc1c(C)cc(N(C)C)cc1C,35,JACS15_L30,710.84058,1.4560118,1.8998824,59,13.005816,0.95240086,-37.033974,2.1872208,0.03677224,-5.3023677,8,5.0616817,3.6294799,382.508,2226,46,142
O=C(Nc1c(C)cccc1C)c1ncccc1,36,OPRDL36,459.63867,1.450779,1.8618835,32,8.1815405,0.97429061,-14.190041,1.5650918,0.077075213,-3.6324594,5,3.2112644,2.9507401,226.27899,530,24,84
O=C(Nc1c(C)cccc1C)c1nc(O)ccc1,37,OPRDL40,460.12219,1.5435644,1.8794566,33,8.575387,1.0137155,-16.672089,5.8275414,0.030128615,-3.3961501,5,3.3264034,2.6563399,242.278,620,26,90
O=C(Nc1c(OC)cc(OC)cc1OC)c1nc(O)ccc1,38,OPRDL41,558.18835,1.6633749,1.9854881,39,10.583249,1.0848556,-20.812048,2.1637096,0.051255394,-3.1565402,6,3.7714517,2.0653,304.302,1063,34,108
O=C(Nc1c(C)ccc2c1cccc2)c1nc(O)ccc1,39,OPRDL42,508.237,1.5067163,1.6149535,37,10.147867,1.0336527,-15.736961,2.1470838,0.073058084,-4.3814273,5,3.57636,3.5011201,278.311,920,33,110
O=C(Nc1c2c(ccc1)cccc2)c1nc(O)ccc1,40,OPRDL43,485.46082,1.5306391,1.5597106,34,9.7371836,1.0576648,-15.387064,2.1974709,0.019110186,-4.1416497,5,3.6130095,3.1926999,264.284,826,30,104
O=C(Nc1c(-c2ccccc2)cccc1)c1nc(O)ccc1,41,OPRDL44,506.58463,1.4932134,1.5632135,38,10.737184,1.0313393,-12.640574,1.918294,0.066247791,-4.6993361,6,3.4311895,3.7065001,290.32199,1083,32,112
FC(F)(F)c1c(NC(=O)c2nc(O)ccc2)cccc1,42,OPRDL45,462.68851,1.9135007,1.9321102,30,9.376029,1.2263813,-16.81008,2.0146694,0.036499511,-3.6780746,5,3.3477297,3.3698001,282.22098,821,29,102
O=C(Nc1c(C)cccc1)c1nc(O)ccc1,43,OPRDL46,449.17105,1.5777994,1.8166823,30,8.1647034,1.0398679,-15.878413,1.8345097,0.024337351,-3.1566138,5,3.3389449,2.3479199,228.25099,542,23,84
O=C(Nc1ccccc1)c1nc(O)ccc1,44,OPRDL47,421.49683,1.6143309,1.7620193,27,7.7540202,1.0520515,-15.739119,1.6970096,0.012966269,-2.9170485,5,3.3356347,2.0395,214.224,468,20,78
O=C(NCc1sccc1)c1nc(O)ccc1,45,OPRDL49,446.1481,1.8053232,1.6842844,27,7.7540202,1.1123039,-12.091419,1.4974002,0.038505506,-3.0918734,5,3.4413559,2.0451,234.27899,487,18,78
