time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1751620525242941400,0.14094140625,0.5284329652786255,0.007013713009655476,0.0025804704055190086,0.8489421606063843,0.009182029403746128,-0.011794168502092361,-1.1134880781173706
1751620525280588500,0.178588623046875,0.5233452916145325,0.00909002311527729,0.004415443167090416,0.8520607948303223,0.010870695114135742,-0.017039718106389046,-1.101514220237732
1751620525337059300,0.235059326171875,0.5255679488182068,0.007174807600677013,0.0023469519801437855,0.8507181406021118,0.009741314686834812,-0.011535143479704857,-1.1067441701889038
1751620525374706700,0.272706787109375,0.5214394927024841,0.00711528304964304,0.004292704630643129,0.8532478213310242,0.007666336372494698,-0.014746395871043205,-1.0970598459243774
1751620525402942000,0.30094189453125,0.521111011505127,0.0076331100426614285,0.0035190428607165813,0.8534474968910217,0.009362342767417431,-0.013962485827505589,-1.0962821245193481
1751620525421765600,0.319765625,0.5218827128410339,0.008198828436434269,0.0033271668944507837,0.8529713749885559,0.010515209287405014,-0.014234090223908424,-1.0980862379074097
1751620525440589000,0.338589111328125,0.5187497735023499,0.008909717202186584,0.004163125064224005,0.854869544506073,0.010915729217231274,-0.016362415626645088,-1.090745210647583
1751620525459412700,0.357412841796875,0.5162239074707031,0.009543975815176964,0.0047958954237401485,0.8563870191574097,0.011397268623113632,-0.01806892640888691,-1.0848379135131836
1751620525478236400,0.376236328125,0.5167940258979797,0.009771634824573994,0.0044905017130076885,0.856042206287384,0.012090742588043213,-0.017788901925086975,-1.0861661434173584
1751620525497059800,0.395059814453125,0.5179060697555542,0.009688680060207844,0.004027762915939093,0.8553731441497803,0.012404962442815304,-0.01692694053053856,-1.0887643098831177
1751620525515883500,0.413883544921875,0.5178577303886414,0.00949122291058302,0.004085984081029892,0.8554043173789978,0.012007737532258034,-0.01682133600115776,-1.088653326034546
1751620525534707200,0.432707275390625,0.5178267955780029,0.00924342405050993,0.004382969345897436,0.8554242849349976,0.01127674337476492,-0.017072411254048347,-1.0885844230651855
1751620525553531000,0.45153076171875,0.5183175802230835,0.008883567526936531,0.004268945194780827,0.8551313877105713,0.010769572108983994,-0.01651078648865223,-1.0897349119186401
1751620525572354300,0.470354248046875,0.5194135308265686,0.008555705659091473,0.0038956571370363235,0.8544712662696838,0.010575770400464535,-0.015545978210866451,-1.0923004150390625
1751620525591178000,0.489177978515625,0.5198562741279602,0.00841028243303299,0.0037265003193169832,0.8542041778564453,0.010495098307728767,-0.015111235901713371,-1.0933375358581543
1751620525610001700,0.508001708984375,0.5192617177963257,0.008548306301236153,0.004022747743874788,0.8545630574226379,0.01043389830738306,-0.015753651037812233,-1.091945767402649
1751620525628825000,0.5268251953125,0.518352210521698,0.008731809444725513,0.004272886551916599,0.8551119565963745,0.01050522830337286,-0.016360629349946976,-1.0898172855377197
1751620525647648800,0.545648681640625,0.5189254879951477,0.0088820680975914,0.0041818805038928986,0.8547630906105042,0.010845623910427094,-0.01636802777647972,-1.0911567211151123
1751620525666472400,0.564472412109375,0.5184885263442993,0.009012698195874691,0.004074635915458202,0.8550273776054382,0.011188626289367676,-0.016314536333084106,-1.0901328325271606
1751620525694708000,0.5927080078125,0.5182045698165894,0.009230956435203552,0.004333528224378824,0.8551958799362183,0.011299111880362034,-0.016979893669486046,-1.0894676446914673
1751620525713531400,0.611531494140625,0.517900824546814,0.009289800189435482,0.004414916504174471,0.8553788065910339,0.011321530677378178,-0.017176086083054543,-1.0887572765350342
1751620525732355000,0.63035498046875,0.5178263783454895,0.009301139041781425,0.004310326650738716,0.8554242849349976,0.011450744234025478,-0.01700788550078869,-1.0885825157165527
1751620525751178800,0.6491787109375,0.5179214477539062,0.009033363312482834,0.0040558404289186,0.8553708791732788,0.011254271492362022,-0.01629636250436306,-1.0888062715530396
1751620525770002200,0.668002197265625,0.5182603597640991,0.008796670474112034,0.004108433611690998,0.8551677465438843,0.010788396000862122,-0.016145432367920876,-1.0896010398864746
1751620525788825900,0.686825927734375,0.5180093050003052,0.008700598031282425,0.004324440844357014,0.8553197979927063,0.010404974222183228,-0.01641227863729,-1.0890158414840698
1751620525807649500,0.7056494140625,0.5178776979446411,0.008635875768959522,0.004228598438203335,0.8554006218910217,0.010396020486950874,-0.016179652884602547,-1.0887081623077393
1751620525826473200,0.72447314453125,0.5184970498085022,0.008596011437475681,0.00393933430314064,0.8550271391868591,0.010616078972816467,-0.015651127323508263,-1.090155839920044
1751620525845296600,0.743296630859375,0.5185072422027588,0.008605387061834335,0.003913188818842173,0.8550209999084473,0.01065904088318348,-0.015616264194250107,-1.090179443359375
1751620525864120300,0.762120361328125,0.5181983113288879,0.008637597784399986,0.004179126117378473,0.8552066683769226,0.010444173589348793,-0.016100704669952393,-1.0894577503204346
1751620525882944000,0.780944091796875,0.5175769925117493,0.008849672973155975,0.004468604456633329,0.8555791974067688,0.010519178584218025,-0.016808055341243744,-1.088004469871521
1751620525901767700,0.799767578125,0.5173390507698059,0.009059079922735691,0.004365158267319202,0.8557214140892029,0.010989343747496605,-0.016844747588038445,-1.087445855140686
1751620525920591000,0.818591064453125,0.5172485709190369,0.009230517782270908,0.004172141198068857,0.8557752370834351,0.011484282091259956,-0.01669054850935936,-1.087231993675232
1751620525939414800,0.837414794921875,0.5167952179908752,0.00940689817070961,0.004346618428826332,0.8560463190078735,0.011614829301834106,-0.017165537923574448,-1.0861716270446777
1751620525958238500,0.856238525390625,0.5165701508522034,0.009423528797924519,0.004552131053060293,0.8561809062957764,0.01143550779670477,-0.01753162033855915,-1.085646629333496
